Crystal angle	Rate at 30kV
theta/°	R(30kV)/Imp/s

2,0	661,0
2,1	660,0
2,2	432,0
2,3	224,0
2,4	193,0
2,5	182,0
2,6	191,0
2,7	167,0
2,8	161,0
2,9	138,0
3,0	134,0
3,1	130,0
3,2	117,0
3,3	99,0
3,4	85,0
3,5	68,0
3,6	64,0
3,7	58,0
3,8	41,0
3,9	44,0
4,0	41,0
4,1	36,0
4,2	29,0
4,3	23,0
4,4	25,0
4,5	20,0
4,6	25,0
4,7	24,0
4,8	26,0
4,9	24,0
5,0	24,0
5,1	22,0
5,2	24,0
5,3	23,0
5,4	29,0
5,5	35,0
5,6	46,0
5,7	44,0
5,8	73,0
5,9	72,0
6,0	96,0
6,1	101,0
6,2	125,0
6,3	127,0
6,4	135,0
6,5	134,0
6,6	146,0
6,7	152,0
6,8	161,0
6,9	160,0
7,0	173,0
7,1	171,0
7,2	184,0
7,3	186,0
7,4	197,0
7,5	197,0
7,6	186,0
7,7	198,0
7,8	201,0
7,9	204,0
8,0	188,0
8,1	204,0
8,2	207,0
8,3	197,0
8,4	212,0
8,5	206,0
8,6	210,0
8,7	211,0
8,8	225,0
8,9	199,0
9,0	224,0
9,1	221,0
9,2	223,0
9,3	218,0
9,4	214,0
9,5	219,0
9,6	207,0
9,7	224,0
9,8	218,0
9,9	215,0
10,0	229,0
10,1	230,0
10,2	216,0
10,3	222,0
10,4	228,0
10,5	229,0
10,6	232,0
10,7	220,0
10,8	245,0
10,9	227,0
11,0	223,0
11,1	234,0
11,2	235,0
11,3	229,0
11,4	236,0
11,5	242,0
11,6	235,0
11,7	223,0
11,8	242,0
11,9	244,0
12,0	244,0
12,1	254,0
12,2	236,0
12,3	235,0
12,4	240,0
12,5	250,0
12,6	235,0
12,7	223,0
12,8	215,0
12,9	195,0
13,0	186,0
13,1	191,0
13,2	191,0
13,3	183,0
13,4	193,0
13,5	185,0
13,6	182,0
13,7	189,0
13,8	184,0
13,9	186,0
14,0	186,0
14,1	187,0
14,2	171,0
14,3	180,0
14,4	182,0
14,5	176,0
14,6	175,0
14,7	169,0
14,8	173,0
14,9	168,0
15,0	175,0
15,1	166,0
15,2	161,0
15,3	165,0
15,4	172,0
15,5	172,0
15,6	165,0
15,7	167,0
15,8	160,0
15,9	164,0
16,0	152,0
16,1	157,0
16,2	145,0
16,3	143,0
16,4	150,0
16,5	144,0
16,6	150,0
16,7	143,0
16,8	144,0
16,9	145,0
17,0	141,0
17,1	139,0
17,2	134,0
17,3	137,0
17,4	130,0
17,5	137,0
17,6	131,0
17,7	123,0
17,8	132,0
17,9	120,0
18,0	124,0
18,1	133,0
18,2	134,0
18,3	135,0
18,4	132,0
18,5	0,0
18,6	124,0
18,7	120,0
18,8	122,0
18,9	116,0
19,0	112,0
19,1	117,0
19,2	111,0
19,3	116,0
19,4	131,0
19,5	194,0
19,6	424,0
19,7	1269,0
19,8	1687,0
19,9	1669,0
20,0	894,0
20,1	342,0
20,2	189,0
20,3	175,0
20,4	147,0
20,5	151,0
20,6	147,0
20,7	134,0
20,8	140,0
20,9	124,0
21,0	133,0
21,1	147,0
21,2	142,0
21,3	133,0
21,4	141,0
21,5	163,0
21,6	183,0
21,7	236,0
21,8	373,0
21,9	1845,0
22,0	4770,0
22,1	5916,0
22,2	5517,0
22,3	3557,0
22,4	539,0
22,5	175,0
22,6	124,0
22,7	117,0
22,8	106,0
22,9	103,0
23,0	92,0
