Crystal angle	Rate at 33kV with Ni
theta/°	R(33kV)/Imp/s

2,0	1826,0
2,1	1829,0
2,2	1278,0
2,3	629,0
2,4	380,0
2,5	337,0
2,6	313,0
2,7	301,0
2,8	288,0
2,9	269,0
3,0	258,0
3,1	236,0
3,2	203,0
3,3	199,0
3,4	178,0
3,5	145,0
3,6	135,0
3,7	108,0
3,8	105,0
3,9	89,0
4,0	80,0
4,1	75,0
4,2	67,0
4,3	61,0
4,4	57,0
4,5	52,0
4,6	56,0
4,7	51,0
4,8	52,0
4,9	58,0
5,0	69,0
5,1	79,0
5,2	88,0
5,3	100,0
5,4	115,0
5,5	127,0
5,6	136,0
5,7	141,0
5,8	149,0
5,9	171,0
6,0	174,0
6,1	181,0
6,2	192,0
6,3	190,0
6,4	189,0
6,5	204,0
6,6	208,0
6,7	212,0
6,8	212,0
6,9	213,0
7,0	212,0
7,1	215,0
7,2	223,0
7,3	225,0
7,4	225,0
7,5	212,0
7,6	217,0
7,7	222,0
7,8	217,0
7,9	214,0
8,0	214,0
8,1	218,0
8,2	215,0
8,3	210,0
8,4	213,0
8,5	204,0
8,6	205,0
8,7	208,0
8,8	210,0
8,9	211,0
9,0	205,0
9,1	201,0
9,2	197,0
9,3	201,0
9,4	197,0
9,5	206,0
9,6	187,0
9,7	191,0
9,8	198,0
9,9	201,0
10,0	190,0
10,1	194,0
10,2	193,0
10,3	184,0
10,4	185,0
10,5	185,0
10,6	184,0
10,7	176,0
10,8	185,0
10,9	186,0
11,0	184,0
11,1	171,0
11,2	177,0
11,3	182,0
11,4	172,0
11,5	177,0
11,6	169,0
11,7	162,0
11,8	172,0
11,9	175,0
12,0	170,0
12,1	165,0
12,2	165,0
12,3	164,0
12,4	167,0
12,5	165,0
12,6	159,0
12,7	149,0
12,8	140,0
12,9	140,0
13,0	123,0
13,1	130,0
13,2	122,0
13,3	119,0
13,4	117,0
13,5	118,0
13,6	115,0
13,7	119,0
13,8	111,0
13,9	109,0
14,0	109,0
14,1	101,0
14,2	109,0
14,3	103,0
14,4	99,0
14,5	97,0
14,6	98,0
14,7	99,0
14,8	89,0
14,9	89,0
15,0	97,0
15,1	89,0
15,2	88,0
15,3	90,0
15,4	89,0
15,5	82,0
15,6	91,0
15,7	79,0
15,8	80,0
15,9	70,0
16,0	70,0
16,1	72,0
16,2	72,0
16,3	77,0
16,4	69,0
16,5	71,0
16,6	70,0
16,7	66,0
16,8	65,0
16,9	65,0
17,0	64,0
17,1	61,0
17,2	62,0
17,3	56,0
17,4	57,0
17,5	57,0
17,6	57,0
17,7	56,0
17,8	57,0
17,9	53,0
18,0	51,0
18,1	49,0
18,2	56,0
18,3	50,0
18,4	49,0
18,5	45,0
18,6	47,0
18,7	49,0
18,8	50,0
18,9	51,0
19,0	48,0
19,1	49,0
19,2	45,0
19,3	45,0
19,4	47,0
19,5	43,0
19,6	67,0
19,7	109,0
19,8	157,0
19,9	154,0
20,0	111,0
20,1	59,0
20,2	49,0
20,3	40,0
20,4	40,0
20,5	38,0
20,6	44,0
20,7	38,0
20,8	41,0
20,9	41,0
21,0	43,0
21,1	44,0
21,2	51,0
21,3	72,0
21,4	97,0
21,5	116,0
21,6	135,0
21,7	170,0
21,8	252,0
21,9	1230,0
22,0	3384,0
22,1	4621,0
22,2	4419,0
22,3	3170,0
22,4	442,0
22,5	131,0
22,6	97,0
22,7	85,0
22,8	84,0
22,9	73,0
23,0	68,0
23,1	62,0
23,2	63,0
23,3	63,0
23,4	58,0
23,5	59,0
23,6	54,0
23,7	55,0
23,8	55,0
23,9	56,0
24,0	55,0
24,1	49,0
24,2	49,0
24,3	45,0
24,4	41,0
24,5	44,0
24,6	42,0
24,7	39,0
24,8	37,0
24,9	38,0
25,0	35,0
25,1	34,0
25,2	34,0
25,3	36,0
25,4	35,0
25,5	34,0
25,6	31,0
25,7	31,0
25,8	32,0
25,9	27,0
26,0	27,0
26,1	28,0
26,2	24,0
26,3	29,0
26,4	28,0
26,5	27,0
26,6	24,0
26,7	25,0
26,8	25,0
26,9	23,0
27,0	21,0
27,1	21,0
27,2	18,0
27,3	20,0
27,4	20,0
27,5	18,0
27,6	19,0
27,7	18,0
27,8	18,0
27,9	17,0
28,0	16,0
28,1	17,0
28,2	15,0
28,3	15,0
28,4	15,0
28,5	17,0
28,6	17,0
28,7	15,0
28,8	17,0
28,9	14,0
29,0	13,0
29,1	13,0
29,2	12,0
29,3	13,0
29,4	11,0
29,5	13,0
29,6	15,0
29,7	12,0
29,8	11,0
29,9	12,0
30,0	13,0
