Crystal angle	Rate at 33kV with Zr
theta/°	R(33kV)/Imp/s

2,0	3201,0
2,1	2674,0
2,2	1149,0
2,3	569,0
2,4	285,0
2,5	220,0
2,6	207,0
2,7	194,0
2,8	185,0
2,9	180,0
3,0	164,0
3,1	159,0
3,2	138,0
3,3	120,0
3,4	112,0
3,5	90,0
3,6	79,0
3,7	75,0
3,8	62,0
3,9	60,0
4,0	53,0
4,1	45,0
4,2	42,0
4,3	31,0
4,4	33,0
4,5	34,0
4,6	30,0
4,7	30,0
4,8	32,0
4,9	33,0
5,0	37,0
5,1	47,0
5,2	60,0
5,3	72,0
5,4	82,0
5,5	91,0
5,6	97,0
5,7	100,0
5,8	113,0
5,9	114,0
6,0	120,0
6,1	125,0
6,2	125,0
6,3	125,0
6,4	131,0
6,5	135,0
6,6	141,0
6,7	127,0
6,8	131,0
6,9	140,0
7,0	132,0
7,1	126,0
7,2	124,0
7,3	119,0
7,4	125,0
7,5	123,0
7,6	123,0
7,7	117,0
7,8	117,0
7,9	116,0
8,0	111,0
8,1	109,0
8,2	105,0
8,3	107,0
8,4	111,0
8,5	105,0
8,6	101,0
8,7	104,0
8,8	94,0
8,9	98,0
9,0	92,0
9,1	93,0
9,2	92,0
9,3	107,0
9,4	127,0
9,5	182,0
9,6	210,0
9,7	211,0
9,8	214,0
9,9	208,0
10,0	217,0
10,1	214,0
10,2	211,0
10,3	219,0
10,4	217,0
10,5	214,0
10,6	209,0
10,7	211,0
10,8	217,0
10,9	211,0
11,0	210,0
11,1	206,0
11,2	208,0
11,3	205,0
11,4	208,0
11,5	202,0
11,6	209,0
11,7	201,0
11,8	208,0
11,9	191,0
12,0	198,0
12,1	206,0
12,2	195,0
12,3	193,0
12,4	196,0
12,5	184,0
12,6	184,0
12,7	186,0
12,8	168,0
12,9	153,0
13,0	141,0
13,1	149,0
13,2	144,0
13,3	137,0
13,4	136,0
13,5	138,0
13,6	135,0
13,7	131,0
13,8	133,0
13,9	133,0
14,0	131,0
14,1	128,0
14,2	126,0
14,3	121,0
14,4	117,0
14,5	117,0
14,6	115,0
14,7	117,0
14,8	113,0
14,9	107,0
15,0	103,0
15,1	110,0
15,2	99,0
15,3	99,0
15,4	103,0
15,5	98,0
15,6	98,0
15,7	92,0
15,8	89,0
15,9	89,0
16,0	90,0
16,1	86,0
16,2	84,0
16,3	82,0
16,4	74,0
16,5	77,0
16,6	71,0
16,7	67,0
16,8	71,0
16,9	72,0
17,0	61,0
17,1	69,0
17,2	68,0
17,3	64,0
17,4	61,0
17,5	62,0
17,6	60,0
17,7	64,0
17,8	59,0
17,9	54,0
18,0	55,0
18,1	52,0
18,2	52,0
18,3	50,0
18,4	48,0
18,5	52,0
18,6	47,0
18,7	50,0
18,8	48,0
18,9	46,0
19,0	43,0
19,1	48,0
19,2	39,0
19,3	40,0
19,4	44,0
19,5	57,0
19,6	108,0
19,7	276,0
19,8	419,0
19,9	441,0
20,0	277,0
20,1	104,0
20,2	67,0
20,3	61,0
20,4	55,0
20,5	54,0
20,6	52,0
20,7	54,0
20,8	51,0
20,9	50,0
21,0	51,0
21,1	51,0
21,2	51,0
21,3	45,0
21,4	46,0
21,5	45,0
21,6	47,0
21,7	57,0
21,8	68,0
21,9	260,0
22,0	716,0
22,1	1034,0
22,2	994,0
22,3	705,0
22,4	115,0
22,5	44,0
22,6	41,0
22,7	39,0
22,8	37,0
22,9	37,0
23,0	32,0
23,1	37,0
23,2	33,0
23,3	31,0
23,4	32,0
23,5	32,0
23,6	30,0
23,7	29,0
23,8	31,0
23,9	30,0
24,0	31,0
24,1	28,0
24,2	30,0
24,3	30,0
24,4	28,0
24,5	25,0
24,6	24,0
24,7	23,0
24,8	24,0
24,9	26,0
25,0	23,0
25,1	26,0
25,2	21,0
25,3	23,0
25,4	22,0
25,5	21,0
25,6	24,0
25,7	22,0
25,8	25,0
25,9	24,0
26,0	20,0
26,1	22,0
26,2	20,0
26,3	22,0
26,4	23,0
26,5	22,0
26,6	20,0
26,7	19,0
26,8	18,0
26,9	19,0
27,0	16,0
27,1	15,0
27,2	17,0
27,3	17,0
27,4	15,0
27,5	14,0
27,6	14,0
27,7	13,0
27,8	15,0
27,9	16,0
28,0	14,0
28,1	13,0
28,2	14,0
28,3	15,0
28,4	13,0
28,5	13,0
28,6	15,0
28,7	12,0
28,8	12,0
28,9	13,0
29,0	13,0
29,1	14,0
29,2	14,0
29,3	12,0
29,4	14,0
29,5	12,0
29,6	13,0
29,7	10,0
29,8	13,0
29,9	10,0
30,0	11,0
