Crystal angle	Rate at 33kV
theta/°	R(33kV)/Imp/s

2,0	3148,0
2,1	3143,0
2,2	2312,0
2,3	1161,0
2,4	565,0
2,5	351,0
2,6	318,0
2,7	310,0
2,8	292,0
2,9	272,0
3,0	265,0
3,1	261,0
3,2	227,0
3,3	200,0
3,4	178,0
3,5	156,0
3,6	134,0
3,7	123,0
3,8	102,0
3,9	87,0
4,0	81,0
4,1	67,0
4,2	62,0
4,3	53,0
4,4	46,0
4,5	44,0
4,6	44,0
4,7	39,0
4,8	33,0
4,9	40,0
5,0	31,0
5,1	34,0
5,2	42,0
5,3	49,0
5,4	64,0
5,5	64,0
5,6	73,0
5,7	77,0
5,8	91,0
5,9	107,0
6,0	113,0
6,1	121,0
6,2	117,0
6,3	133,0
6,4	130,0
6,5	145,0
6,6	144,0
6,7	155,0
6,8	153,0
6,9	160,0
7,0	164,0
7,1	168,0
7,2	175,0
7,3	186,0
7,4	182,0
7,5	181,0
7,6	182,0
7,7	188,0
7,8	196,0
7,9	200,0
8,0	186,0
8,1	200,0
8,2	214,0
8,3	209,0
8,4	209,0
8,5	203,0
8,6	214,0
8,7	217,0
8,8	213,0
8,9	218,0
9,0	223,0
9,1	228,0
9,2	236,0
9,3	238,0
9,4	232,0
9,5	244,0
9,6	242,0
9,7	237,0
9,8	240,0
9,9	255,0
10,0	261,0
10,1	260,0
10,2	247,0
10,3	253,0
10,4	254,0
10,5	262,0
10,6	252,0
10,7	254,0
10,8	263,0
10,9	256,0
11,0	255,0
11,1	272,0
11,2	264,0
11,3	282,0
11,4	279,0
11,5	289,0
11,6	275,0
11,7	273,0
11,8	276,0
11,9	285,0
12,0	280,0
12,1	276,0
12,2	287,0
12,3	270,0
12,4	290,0
12,5	283,0
12,6	278,0
12,7	283,0
12,8	277,0
12,9	265,0
13,0	261,0
13,1	228,0
13,2	211,0
13,3	226,0
13,4	217,0
13,5	222,0
13,6	228,0
13,7	220,0
13,8	230,0
13,9	212,0
14,0	220,0
14,1	216,0
14,2	238,0
14,3	228,0
14,4	224,0
14,5	221,0
14,6	224,0
14,7	207,0
14,8	213,0
14,9	202,0
15,0	218,0
15,1	217,0
15,2	207,0
15,3	222,0
15,4	204,0
15,5	216,0
15,6	215,0
15,7	199,0
15,8	199,0
15,9	204,0
16,0	210,0
16,1	195,0
16,2	201,0
16,3	200,0
16,4	199,0
16,5	189,0
16,6	190,0
16,7	183,0
16,8	187,0
16,9	193,0
17,0	184,0
17,1	177,0
17,2	179,0
17,3	177,0
17,4	177,0
17,5	177,0
17,6	170,0
17,7	174,0
17,8	176,0
17,9	171,0
18,0	172,0
18,1	166,0
18,2	166,0
18,3	169,0
18,4	176,0
18,5	167,0
18,6	177,0
18,7	166,0
18,8	167,0
18,9	166,0
19,0	156,0
19,1	162,0
19,2	155,0
19,3	152,0
19,4	152,0
19,5	146,0
19,6	145,0
19,7	146,0
19,8	144,0
19,9	148,0
20,0	144,0
20,1	144,0
20,2	141,0
20,3	139,0
20,4	129,0
20,5	132,0
20,6	129,0
20,7	121,0
20,8	126,0
20,9	126,0
21,0	125,0
21,1	121,0
21,2	132,0
21,3	133,0
21,4	132,0
21,5	121,0
21,6	116,0
21,7	120,0
21,8	114,0
21,9	105,0
22,0	98,0
22,1	117,0
22,2	111,0
22,3	129,0
22,4	118,0
22,5	92,0
22,6	87,0
22,7	88,0
22,8	89,0
22,9	81,0
23,0	86,0
23,1	87,0
23,2	88,0
23,3	77,0
23,4	74,0
23,5	77,0
23,6	72,0
23,7	78,0
23,8	71,0
23,9	80,0
24,0	91,0
24,1	89,0
24,2	87,0
24,3	76,0
24,4	75,0
24,5	58,0
24,6	66,0
24,7	65,0
24,8	64,0
24,9	69,0
25,0	67,0
25,1	71,0
25,2	87,0
25,3	116,0
25,4	356,0
25,5	948,0
25,6	1449,0
25,7	1482,0
25,8	1003,0
25,9	333,0
26,0	145,0
26,1	114,0
26,2	102,0
26,3	95,0
26,4	96,0
26,5	85,0
26,6	75,0
26,7	79,0
26,8	76,0
26,9	69,0
27,0	68,0
27,1	64,0
27,2	67,0
27,3	57,0
27,4	60,0
27,5	61,0
27,6	69,0
27,7	66,0
27,8	71,0
27,9	87,0
28,0	105,0
28,1	159,0
28,2	372,0
28,3	1146,0
28,4	3072,0
28,5	4184,0
28,6	4037,0
28,7	2097,0
28,8	619,0
28,9	130,0
29,0	77,0
29,1	61,0
29,2	62,0
29,3	53,0
29,4	43,0
29,5	44,0
29,6	41,0
29,7	35,0
29,8	39,0
29,9	33,0
30,0	35,0
