Crystal angle	Rate at 33kV with Ni
theta/°	R(33kV)/Imp/s

3,0	221,0
3,1	211,0
3,2	207,0
3,3	193,0
3,4	165,0
3,5	149,0
3,6	130,0
3,7	122,0
3,8	106,0
3,9	88,0
4,0	81,0
4,1	71,0
4,2	65,0
4,3	52,0
4,4	50,0
4,5	49,0
4,6	51,0
4,7	45,0
4,8	45,0
4,9	43,0
5,0	40,0
5,1	47,0
5,2	46,0
5,3	48,0
5,4	45,0
5,5	60,0
5,6	60,0
5,7	64,0
5,8	69,0
5,9	83,0
6,0	81,0
6,1	95,0
6,2	85,0
6,3	87,0
6,4	102,0
6,5	102,0
6,6	94,0
6,7	106,0
6,8	116,0
6,9	88,0
7,0	111,0
7,1	93,0
7,2	103,0
7,3	105,0
7,4	110,0
7,5	109,0
7,6	109,0
7,7	105,0
7,8	117,0
7,9	111,0
8,0	111,0
8,1	119,0
8,2	111,0
8,3	123,0
8,4	119,0
8,5	116,0
8,6	130,0
8,7	119,0
8,8	133,0
8,9	124,0
9,0	125,0
9,1	130,0
9,2	139,0
9,3	133,0
9,4	126,0
9,5	130,0
9,6	139,0
9,7	130,0
9,8	136,0
9,9	138,0
10,0	147,0
10,1	140,0
10,2	133,0
10,3	145,0
10,4	131,0
10,5	144,0
10,6	151,0
10,7	145,0
10,8	138,0
10,9	141,0
11,0	139,0
11,1	143,0
11,2	146,0
11,3	145,0
11,4	143,0
11,5	140,0
11,6	151,0
11,7	150,0
11,8	148,0
11,9	154,0
12,0	140,0
12,1	141,0
12,2	147,0
12,3	154,0
12,4	148,0
12,5	138,0
12,6	134,0
12,7	133,0
12,8	139,0
12,9	129,0
13,0	119,0
13,1	120,0
13,2	112,0
13,3	115,0
13,4	104,0
13,5	100,0
13,6	112,0
13,7	93,0
13,8	103,0
13,9	92,0
14,0	103,0
14,1	95,0
14,2	93,0
14,3	87,0
14,4	93,0
14,5	94,0
14,6	84,0
14,7	87,0
14,8	90,0
14,9	82,0
15,0	89,0
15,1	80,0
15,2	87,0
15,3	86,0
15,4	78,0
15,5	74,0
15,6	82,0
15,7	74,0
15,8	76,0
15,9	79,0
16,0	70,0
16,1	66,0
16,2	67,0
16,3	68,0
16,4	68,0
16,5	68,0
16,6	58,0
16,7	63,0
16,8	55,0
16,9	62,0
17,0	56,0
17,1	57,0
17,2	56,0
17,3	53,0
17,4	57,0
17,5	50,0
17,6	48,0
17,7	49,0
17,8	49,0
17,9	54,0
18,0	45,0
18,1	45,0
18,2	42,0
18,3	43,0
18,4	45,0
18,5	45,0
18,6	47,0
18,7	41,0
18,8	44,0
18,9	42,0
19,0	40,0
19,1	41,0
19,2	38,0
19,3	46,0
19,4	35,0
19,5	40,0
19,6	38,0
19,7	37,0
19,8	36,0
19,9	42,0
20,0	33,0
20,1	33,0
20,2	35,0
20,3	31,0
20,4	32,0
20,5	29,0
20,6	32,0
20,7	32,0
20,8	26,0
20,9	27,0
21,0	28,0
21,1	32,0
21,2	29,0
21,3	38,0
21,4	42,0
21,5	46,0
21,6	68,0
21,7	77,0
21,8	69,0
21,9	69,0
22,0	59,0
22,1	71,0
22,2	78,0
22,3	73,0
22,4	71,0
22,5	53,0
22,6	54,0
22,7	51,0
22,8	50,0
22,9	49,0
23,0	52,0
23,1	51,0
23,2	47,0
23,3	50,0
23,4	41,0
23,5	46,0
23,6	43,0
23,7	43,0
23,8	45,0
23,9	47,0
24,0	46,0
24,1	51,0
24,2	49,0
24,3	44,0
24,4	37,0
24,5	29,0
24,6	33,0
24,7	38,0
24,8	37,0
24,9	32,0
25,0	42,0
25,1	29,0
25,2	51,0
25,3	68,0
25,4	100,0
25,5	427,0
25,6	633,0
25,7	660,0
25,8	422,0
25,9	134,0
26,0	57,0
26,1	55,0
26,2	47,0
26,3	41,0
26,4	44,0
26,5	33,0
26,6	29,0
26,7	37,0
26,8	35,0
26,9	28,0
27,0	27,0
27,1	27,0
27,2	26,0
27,3	27,0
27,4	24,0
27,5	31,0
27,6	26,0
27,7	26,0
27,8	31,0
27,9	35,0
28,0	40,0
28,1	56,0
28,2	157,0
28,3	410,0
28,4	1170,0
28,5	1547,0
28,6	1583,0
28,7	785,0
28,8	170,0
28,9	45,0
29,0	23,0
29,1	25,0
29,2	20,0
29,3	20,0
29,4	16,0
29,5	16,0
29,6	13,0
29,7	13,0
29,8	15,0
29,9	12,0
30,0	15,0
