Crystal angle	Rate at 33kV
theta/°	R(33kV)/Imp/s

3,0	153,0
3,1	160,0
3,2	148,0
3,3	131,0
3,4	124,0
3,5	108,0
3,6	88,0
3,7	80,0
3,8	74,0
3,9	66,0
4,0	57,0
4,1	53,0
4,2	46,0
4,3	41,0
4,4	33,0
4,5	33,0
4,6	31,0
4,7	31,0
4,8	24,0
4,9	25,0
5,0	27,0
5,1	28,0
5,2	30,0
5,3	35,0
5,4	41,0
5,5	49,0
5,6	46,0
5,7	57,0
5,8	65,0
5,9	70,0
6,0	70,0
6,1	76,0
6,2	82,0
6,3	74,0
6,4	87,0
6,5	85,0
6,6	95,0
6,7	86,0
6,8	87,0
6,9	91,0
7,0	88,0
7,1	90,0
7,2	98,0
7,3	88,0
7,4	87,0
7,5	93,0
7,6	91,0
7,7	85,0
7,8	96,0
7,9	95,0
8,0	89,0
8,1	85,0
8,2	92,0
8,3	91,0
8,4	91,0
8,5	86,0
8,6	82,0
8,7	81,0
8,8	82,0
8,9	73,0
9,0	77,0
9,1	74,0
9,2	81,0
9,3	82,0
9,4	80,0
9,5	99,0
9,6	126,0
9,7	160,0
9,8	180,0
9,9	183,0
10,0	190,0
10,1	185,0
10,2	199,0
10,3	186,0
10,4	185,0
10,5	197,0
10,6	190,0
10,7	185,0
10,8	191,0
10,9	203,0
11,0	194,0
11,1	206,0
11,2	195,0
11,3	193,0
11,4	199,0
11,5	195,0
11,6	193,0
11,7	193,0
11,8	199,0
11,9	193,0
12,0	201,0
12,1	194,0
12,2	205,0
12,3	183,0
12,4	190,0
12,5	194,0
12,6	190,0
12,7	198,0
12,8	176,0
12,9	177,0
13,0	169,0
13,1	149,0
13,2	140,0
13,3	129,0
13,4	150,0
13,5	142,0
13,6	133,0
13,7	127,0
13,8	134,0
13,9	139,0
14,0	131,0
14,1	125,0
14,2	130,0
14,3	128,0
14,4	123,0
14,5	130,0
14,6	118,0
14,7	112,0
14,8	108,0
14,9	114,0
15,0	113,0
15,1	110,0
15,2	111,0
15,3	94,0
15,4	111,0
15,5	104,0
15,6	105,0
15,7	102,0
15,8	102,0
15,9	91,0
16,0	104,0
16,1	89,0
16,2	93,0
16,3	94,0
16,4	94,0
16,5	93,0
16,6	87,0
16,7	82,0
16,8	78,0
16,9	82,0
17,0	75,0
17,1	82,0
17,2	70,0
17,3	70,0
17,4	72,0
17,5	66,0
17,6	71,0
17,7	70,0
17,8	65,0
17,9	63,0
18,0	58,0
18,1	61,0
18,2	62,0
18,3	65,0
18,4	62,0
18,5	54,0
18,6	55,0
18,7	50,0
18,8	55,0
18,9	50,0
19,0	52,0
19,1	47,0
19,2	49,0
19,3	50,0
19,4	52,0
19,5	48,0
19,6	45,0
19,7	46,0
19,8	54,0
19,9	53,0
20,0	48,0
20,1	50,0
20,2	53,0
20,3	45,0
20,4	44,0
20,5	44,0
20,6	48,0
20,7	42,0
20,8	45,0
20,9	35,0
21,0	42,0
21,1	36,0
21,2	49,0
21,3	47,0
21,4	39,0
21,5	34,0
21,6	41,0
21,7	36,0
21,8	36,0
21,9	37,0
22,0	36,0
22,1	34,0
22,2	37,0
22,3	32,0
22,4	35,0
22,5	33,0
22,6	32,0
22,7	33,0
22,8	29,0
22,9	34,0
23,0	29,0
23,1	30,0
23,2	29,0
23,3	31,0
23,4	23,0
23,5	25,0
23,6	28,0
23,7	22,0
23,8	31,0
23,9	23,0
24,0	27,0
24,1	31,0
24,2	26,0
24,3	25,0
24,4	24,0
24,5	25,0
24,6	24,0
24,7	26,0
24,8	22,0
24,9	23,0
25,0	24,0
25,1	21,0
25,2	19,0
25,3	24,0
25,4	35,0
25,5	53,0
25,6	79,0
25,7	80,0
25,8	61,0
25,9	33,0
26,0	24,0
26,1	22,0
26,2	19,0
26,3	21,0
26,4	20,0
26,5	17,0
26,6	22,0
26,7	20,0
26,8	20,0
26,9	16,0
27,0	15,0
27,1	17,0
27,2	17,0
27,3	15,0
27,4	15,0
27,5	16,0
27,6	14,0
27,7	14,0
27,8	16,0
27,9	17,0
28,0	20,0
28,1	20,0
28,2	18,0
28,3	31,0
28,4	61,0
28,5	84,0
28,6	92,0
28,7	57,0
28,8	22,0
28,9	12,0
29,0	11,0
29,1	14,0
29,2	15,0
29,3	12,0
29,4	11,0
29,5	8,0
29,6	11,0
29,7	11,0
29,8	13,0
29,9	11,0
30,0	0,0
