Crystal angle	Rate at 33kV
theta/°	R(33kV)/Imp/s

25,0	79,0
25,1	78,0
25,2	79,0
25,3	76,0
25,4	77,0
25,5	74,0
25,6	73,0
25,7	72,0
25,8	69,0
25,9	68,0
26,0	70,0
26,1	69,0
26,2	66,0
26,3	66,0
26,4	66,0
26,5	61,0
26,6	60,0
26,7	58,0
26,8	60,0
26,9	59,0
27,0	59,0
27,1	55,0
27,2	56,0
27,3	54,0
27,4	52,0
27,5	63,0
27,6	65,0
27,7	61,0
27,8	55,0
27,9	49,0
28,0	47,0
28,1	48,0
28,2	46,0
28,3	44,0
28,4	46,0
28,5	45,0
28,6	42,0
28,7	44,0
28,8	44,0
28,9	42,0
29,0	43,0
29,1	43,0
29,2	40,0
29,3	40,0
29,4	41,0
29,5	40,0
29,6	39,0
29,7	40,0
29,8	38,0
29,9	36,0
30,0	40,0
30,1	40,0
30,2	38,0
30,3	38,0
30,4	36,0
30,5	36,0
30,6	37,0
30,7	36,0
30,8	37,0
30,9	36,0
31,0	38,0
31,1	39,0
31,2	53,0
31,3	75,0
31,4	93,0
31,5	96,0
31,6	89,0
31,7	67,0
31,8	54,0
31,9	40,0
32,0	35,0
32,1	36,0
32,2	35,0
32,3	32,0
32,4	34,0
32,5	34,0
32,6	31,0
32,7	32,0
32,8	32,0
32,9	31,0
33,0	30,0
33,1	30,0
33,2	30,0
33,3	29,0
33,4	29,0
33,5	31,0
33,6	29,0
33,7	30,0
33,8	29,0
33,9	28,0
34,0	29,0
34,1	28,0
34,2	30,0
34,3	26,0
34,4	28,0
34,5	28,0
34,6	26,0
34,7	27,0
34,8	26,0
34,9	27,0
35,0	26,0
